sepal.length,sepal.width,petal.length,petal.width,variety,,,,,,,,,
5,3.5,1.3,0.3,Setosa,,,,,,-0.41600969,,,
4.5,2.3,1.3,0.3,Setosa,,,,,,-1.14301691,,,
4.4,3.2,1.3,0.2,Setosa,,,,,,-1.02184904,,,
5,3.5,1.6,0.6,Setosa,,,,,,-0.41600969,,,
5.1,3.8,1.9,0.4,Setosa,,,,,,-1.14301691,,,
4.8,3,1.4,0.3,Setosa,,,,,,-1.74885626,,,
5.1,3.8,1.6,0.2,Setosa,,,,,,-0.90068117,,,
4.6,3.2,1.4,0.2,Setosa,,,,,,-1.02184904,,,
5.3,3.7,1.5,0.2,Setosa,,,,,,-1.62768839,,,
5,3.3,1.4,0.2,Setosa,,,,,,-1.74885626,,,
7,3.2,4.7,1.4,Versicolor,,,,,,-1.02184904,,,
6.4,3.2,4.5,1.5,Versicolor,,,,,,-0.90068117,,,
6.9,3.1,4.9,1.5,Versicolor,,,,,,-1.26418478,,,
5.5,2.3,4,1.3,Versicolor,,,,,,-0.90068117,,,
6.5,2.8,4.6,1.5,Versicolor,,,,,,-1.50652052,,,
5.7,2.8,4.5,1.3,Versicolor,,,,,,-0.65834543,,,
6.3,3.3,4.7,1.6,Versicolor,,,,,,-1.02184904,,,
4.9,2.4,3.3,1,Versicolor,,,,,,1.40150837,,,
6.6,2.9,4.6,1.3,Versicolor,,,,,,0.67450115,,,
5.2,2.7,3.9,1.4,Versicolor,,,,,,1.2803405,,,
5,2,3.5,1,Versicolor,,,,,,-0.41600969,,,
5.9,3,4.2,1.5,Versicolor,,,,,,0.79566902,,,
6,2.2,4,1,Versicolor,,,,,,-0.17367395,,,
6.1,2.9,4.7,1.4,Versicolor,,,,,,0.55333328,,,
5.6,2.9,3.6,1.3,Versicolor,,,,,,-1.14301691,,,
6.7,3.1,4.4,1.4,Versicolor,,,,,,0.91683689,,,
5.6,3,4.5,1.5,Versicolor,,,,,,-0.7795133,,,
5.8,2.7,4.1,1,Versicolor,,,,,,-1.02184904,,,
6.2,2.2,4.5,1.5,Versicolor,,,,,,0.06866179,,,
5.6,2.5,3.9,1.1,Versicolor,,,,,,0.18982966,,,
5.9,3.2,4.8,1.8,Versicolor,,,,,,0.31099753,,,
6.1,2.8,4,1.3,Versicolor,,,,,,-0.29484182,,,
6.3,2.5,4.9,1.5,Versicolor,,,,,,1.03800476,,,
6.1,2.8,4.7,1.2,Versicolor,,,,,,-0.29484182,,,
6.4,2.9,4.3,1.3,Versicolor,,,,,,-0.05250608,,,
6.6,3,4.4,1.4,Versicolor,,,,,,0.4321654,,,
6.8,2.8,4.8,1.4,Versicolor,,,,,,-0.29484182,,,
6.7,3,5,1.7,Versicolor,,,,,,0.06866179,,,
6,2.9,4.5,1.5,Versicolor,,,,,,0.31099753,,,
5.7,2.6,3.5,1,Versicolor,,,,,,0.55333328,,,
5.5,2.4,3.8,1.1,Versicolor,,,,,,0.31099753,,,
5.5,2.4,3.7,1,Versicolor,,,,,,0.67450115,,,
5.8,2.7,3.9,1.2,Versicolor,,,,,,0.91683689,,,
6,2.7,5.1,1.6,Versicolor,,,,,,1.15917263,,,
5.4,3,4.5,1.5,Versicolor,,,,,,1.03800476,,,
6,3.4,4.5,1.6,Versicolor,,,,,,0.18982966,,,
6.7,3.1,4.7,1.5,Versicolor,,,,,,-0.17367395,,,
6.3,2.3,4.4,1.3,Versicolor,,,,,,-0.41600969,,,
5.6,3,4.1,1.3,Versicolor,,,,,,-0.41600969,,,
5.5,2.5,4,1.3,Versicolor,,,,,,-0.05250608,,,
5.5,2.6,4.4,1.2,Versicolor,,,,,,0.18982966,,,
6.1,3,4.6,1.4,Versicolor,,,,,,-0.53717756,,,
5.8,2.6,4,1.2,Versicolor,,,,,,0.18982966,,,
5,2.3,3.3,1,Versicolor,,,,,,1.03800476,,,
5.6,2.7,4.2,1.3,Versicolor,,,,,,0.55333328,,,
5.7,3,4.2,1.2,Versicolor,,,,,,-0.29484182,,,
5.7,2.9,4.2,1.3,Versicolor,,,,,,-0.41600969,,,
6.2,2.9,4.3,1.3,Versicolor,,,,,,-0.41600969,,,
5.1,2.5,3,1.1,Versicolor,,,,,,0.31099753,,,
5.7,2.8,4.1,1.3,Versicolor,,,,,,-0.05250608,,,
6.3,3.3,6,2.5,Virginica,,,,,,-1.02184904,,,
5.8,2.7,5.1,1.9,Virginica,,,,,,-0.29484182,,,
7.1,3,5.9,2.1,Virginica,,,,,,-0.17367395,,,
6.3,2.9,5.6,1.8,Virginica,,,,,,-0.17367395,,,
6.5,3,5.8,2.2,Virginica,,,,,,0.4321654,,,
7.6,3,6.6,2.1,Virginica,,,,,,-0.90068117,,,
4.9,2.5,4.5,1.7,Virginica,,,,,,-0.17367395,,,
7.3,2.9,6.3,1.8,Virginica,,,,,,0.55333328,,,
6.7,2.5,5.8,1.8,Virginica,,,,,,-0.05250608,,,
7.2,3.6,6.1,2.5,Virginica,,,,,,1.52267624,,,
6.5,3.2,5.1,2,Virginica,,,,,,0.55333328,,,
6.4,2.7,5.3,1.9,Virginica,,,,,,0.79566902,,,
6.8,3,5.5,2.1,Virginica,,,,,,2.12851559,,,
5.7,2.5,5,2,Virginica,,,,,,-1.14301691,,,
5.8,2.8,5.1,2.4,Virginica,,,,,,1.76501198,,,
6.4,3.2,5.3,2.3,Virginica,,,,,,1.03800476,,,
6.5,3,5.5,1.8,Virginica,,,,,,1.64384411,,,
7.7,3.8,6.7,2.2,Virginica,,,,,,0.79566902,,,
7.7,2.6,6.9,2.3,Virginica,,,,,,0.67450115,,,
6,2.2,5,1.5,Virginica,,,,,,1.15917263,,,
6.9,3.2,5.7,2.3,Virginica,,,,,,-0.17367395,,,
5.6,2.8,4.9,2,Virginica,,,,,,-0.05250608,,,
7.7,2.8,6.7,2,Virginica,,,,,,0.67450115,,,
6.3,2.7,4.9,1.8,Virginica,,,,,,0.79566902,,,
6.7,3.3,5.7,2.1,Virginica,,,,,,2.24968346,,,
7.2,3.2,6,1.8,Virginica,,,,,,2.24968346,,,
6.2,2.8,4.8,1.8,Virginica,,,,,,0.18982966,,,
6.1,3,4.9,1.8,Virginica,,,,,,1.2803405,,,
6.4,2.8,5.6,2.1,Virginica,,,,,,-0.29484182,,,
7.2,3,5.8,1.6,Virginica,,,,,,2.24968346,,,
7.4,2.8,6.1,1.9,Virginica,,,,,,0.55333328,,,
7.9,3.8,6.4,2,Virginica,,,,,,1.03800476,,,
6.4,2.8,5.6,2.2,Virginica,,,,,,1.64384411,,,
6.3,2.8,5.1,1.5,Virginica,,,,,,0.4321654,,,
6.1,2.6,5.6,1.4,Virginica,,,,,,0.31099753,,,
7.7,3,6.1,2.3,Virginica,,,,,,0.67450115,,,
6.3,3.4,5.6,2.4,Virginica,,,,,,1.64384411,,,
6.4,3.1,5.5,1.8,Virginica,,,,,,1.88617985,,,
6,3,4.8,1.8,Virginica,,,,,,2.4920192,,,
6.9,3.1,5.4,2.1,Virginica,,,,,,0.67450115,,,
6.7,3.1,5.6,2.4,Virginica,,,,,,0.55333328,,,
6.9,3.1,5.1,2.3,Virginica,,,,,,0.31099753,,,
5.8,2.7,5.1,1.9,Virginica,,,,,,2.24968346,,,
6.8,3.2,5.9,2.3,Virginica,,,,,,0.55333328,,,
6.7,3.3,5.7,2.5,Virginica,,,,,,0.67450115,,,
6.7,3,5.2,2.3,Virginica,,,,,,0.18982966,,,
6.3,2.5,5,1.9,Virginica,,,,,,1.2803405,,,
6.5,3,5.2,2,Virginica,,,,,,1.03800476,,,
6.2,3.4,5.4,2.3,Virginica,,,,,,1.2803405,,,
5.9,3,5.1,1.8,Virginica,,,,,,-0.05250608,,,
,,,,,,,,,,1.15917263,,,
,,,,,,,,,,1.03800476,,,
,,,,,,,,,,1.03800476,,,
,,,,,,,,,,0.55333328,,,
,,,,,,,,,,0.79566902,,,
,,,,,,,,,,0.4321654,,,
,,,,,,,,,,0.06866179,,,
,,,,,,,,,,4.00E-10,,,
